Time (seconds),strength
0.85,1023
0.96,1021
1.07,1364
1.17,1794
1.27,1084
1.38,763
1.48,807
1.59,1009
1.69,943
1.79,1048
1.90,1007
2.00,1062
2.11,1005
2.21,964
2.31,998
2.42,964
2.52,951
2.63,974
2.73,982
2.83,996
2.94,987
3.04,997
3.15,950
3.25,1192
3.36,1029
3.49,995
3.59,898
3.70,1029
3.80,980
3.91,1003
4.01,1071
4.11,1079
4.22,887
4.33,801
4.43,889
4.53,625
4.64,833
4.74,1045
4.85,994
4.95,1016
5.06,1000
5.16,977
5.27,989
5.37,989
5.47,982
5.58,948
5.68,1001
5.79,992
5.89,992
5.99,994
6.10,987
6.20,994
6.31,1023
6.44,1012
6.54,973
6.65,966
6.75,976
6.85,921
6.96,1019
7.06,987
7.17,976
7.27,944
7.37,939
7.48,978
7.58,996
7.69,987
7.79,968
7.89,983
8.00,976
8.10,921
8.21,1013
8.31,978
8.41,1056
8.52,801
8.62,1074
8.73,937
8.83,1000
8.93,970
9.04,1001
9.14,960
9.27,991
9.38,1127
9.48,1070
9.59,1089
9.69,894
9.79,1091
9.90,1075
10.00,1102
10.11,1024
10.21,1035
10.31,1093
10.42,1057
10.52,1054
10.63,1050
10.73,1006
10.83,1088
1.21,1009
1.32,946
1.42,984
1.53,1070
1.63,1071
1.73,967
1.84,1007
1.94,966
2.05,1051
2.20,1021
2.31,993
2.41,1093
2.51,1197
2.62,2370
2.72,976
2.83,1291
2.93,977
3.04,1194
3.14,1011
3.25,1072
3.35,1131
3.46,1015
3.56,1121
3.67,1081
3.77,1095
3.87,1073
3.98,1418
4.08,1077
4.19,1030
4.29,1057
4.39,895
4.50,1083
4.60,1089
4.71,1062
4.81,1114
4.95,889
5.05,1073
5.16,1042
5.26,1122
5.37,1129
0.26,2567
0.36,1350
0.47,613
0.58,1087
0.69,795
0.79,1070
0.90,1050
1.01,981
1.12,957
1.23,970
1.33,996
1.44,974
1.55,1126
1.66,1028
1.77,875
1.87,1003
1.98,970
2.09,1362
2.20,990
2.30,1629
2.41,1217
2.52,938
2.66,1100
2.77,1016
2.88,1194
2.98,931
3.09,1049
3.20,1738
3.31,992
3.41,1042
3.52,1025
3.63,943
3.74,1055
3.85,1188
3.95,1229
4.06,2118
4.17,1286
4.28,578
4.39,1038
4.50,2045
4.60,1722
4.71,780
4.82,1050
4.93,1628
5.04,1164
5.14,1299
5.25,1318
5.35,960
5.49,764
5.60,832
5.71,1024
5.82,1384
5.92,1359
6.03,1244
6.14,1204
6.25,1160
6.36,1123
6.46,1405
6.57,851
6.68,587
6.79,551
6.89,1632
7.00,1310
7.11,892
7.22,621
7.32,1460
7.43,1053
7.54,1083
7.65,949
7.76,836
7.86,862
7.97,853
8.07,1431
8.18,623
8.29,1424
8.45,1588
8.56,1464
8.66,1357
8.77,693
8.88,1549
8.99,970
9.09,1412
9.20,2028
9.31,573
9.42,708
9.53,1533
9.63,1635
9.74,939
9.85,603
9.96,712
10.07,1815
10.17,1681
10.28,1422
10.39,368
10.50,622
10.60,335
10.71,2309
10.82,2900
10.93,1537
11.03,805
11.14,1330
11.28,2309
11.39,3018
11.50,3533
11.61,2040
11.71,849
11.82,989
11.93,2108
12.04,2001
12.15,1751
12.25,2497
12.36,3001
12.47,2516
12.58,2212
12.69,1657
12.79,1790
12.90,1392
13.01,1711
13.12,1910
13.23,2179
13.34,917
13.44,756
13.55,685
13.66,1337
13.77,2491
13.90,1640
14.01,824
14.12,1011
14.23,516
14.34,1243
14.44,1968
14.55,1519
14.66,812
14.77,825
14.87,867
14.98,1676
15.09,939
15.20,1295
15.31,1139
15.41,1119
15.52,1069
15.63,855
15.74,871
15.85,704
15.96,1343
16.06,1202
16.17,1261
16.28,1233
16.39,780
16.53,1427
16.63,1428
16.74,1165
16.85,1109
16.96,897
17.06,1098
17.17,959
17.28,1077
17.39,1090
17.49,877
17.60,915
17.71,1256
17.82,1394
17.93,1312
18.03,768
18.14,1176
18.25,1607
18.36,976
18.47,1025
18.57,1525
18.68,1219
18.79,971
18.89,980
19.00,1180
19.16,1576
19.27,538
19.38,797
19.49,1066
19.59,1109
19.70,1092
19.81,1709
19.92,1070
20.03,802
20.13,1011
20.24,1631
20.35,957
20.46,2205
20.57,181
20.67,889
20.78,945
20.89,633
21.00,2312
21.11,2821
21.22,2265
21.32,1381
21.43,216
21.54,431
21.65,1205
21.78,503
21.89,1137
22.00,2446
22.11,2057
22.22,2134
22.32,1601
22.43,2256
22.54,2944
22.65,3443
22.75,1899
22.86,565
22.97,794
23.08,985
23.19,1078
23.29,1961
23.40,2656
23.51,2889
23.62,2389
23.72,1770
23.83,2065
23.94,2915
24.05,2856
24.15,730
24.26,551
24.40,1333
24.51,639
24.61,968
24.72,1818
24.83,2366
24.94,1424
25.04,1949
25.15,1362
25.26,1649
25.37,1543
25.47,2749
25.58,1463
25.69,2045
25.80,1084
25.91,991
26.01,891
26.12,2351
26.23,3533
26.34,2488
26.44,1370
26.55,1662
26.66,1932
26.77,3019
26.91,3222
27.02,2421
27.12,980
27.23,1718
27.33,1542
27.44,1249
27.55,2632
27.66,2812
27.76,2450
27.87,1633
27.98,2437
28.09,3287
28.19,3055
28.30,819
28.41,345
28.52,1209
28.63,890
28.73,2985
28.84,2885
28.95,2664
29.06,2789
29.17,2560
29.28,1135
29.38,2058
29.54,1056
29.65,2500
29.76,3293
29.87,2895
29.98,1737
30.08,1378
30.19,2063
30.30,1572
30.41,2981
30.52,2716
30.62,3060
30.73,2069
30.84,1340
30.95,1959
31.06,909
31.16,2587
31.27,2378
31.38,2528
31.49,1804
31.59,715
31.70,2087
31.81,1111
31.92,2438
32.03,3021
32.16,2421
32.27,2933
32.38,1463
32.48,1336
32.59,2149
32.70,771
32.81,1608
32.91,2930
33.02,2876
33.13,2662
33.24,1726
33.35,1009
33.45,2043
33.56,448
33.67,538
33.78,1596
33.89,2067
33.99,2075
34.10,815
34.21,353
34.32,1241
34.43,794
34.54,1458
34.67,1076
34.78,999
34.89,915
35.00,980
35.11,655
35.21,2644
35.32,2615
35.43,765
35.54,1695
35.65,776
35.75,598
35.86,748
35.97,1210
36.08,2064
36.19,1875
36.30,1142
36.40,461
36.51,747
36.62,883
36.73,564
36.84,1077
36.94,3080
37.05,2322
37.16,1884
37.27,1484
37.41,1336
37.52,2507
37.62,2072
37.73,2047
37.84,2714
37.95,1863
38.06,2003
38.16,1363
38.27,831
38.38,1818
38.49,2204
38.59,2064
38.70,2217
